name,category,description,price
"Phlogophite MICA Tape","NEMA G11","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA G11","Calcinied MICA Tape - industrial composite",0
"Glass Fabric Laminates |","NEMA G11","Glass Fabric Laminates | - industrial composite",0
"NEMA G11","NEMA G11","NEMA G11 - industrial composite",0
"Excellent chemical resistance & radiation resistance","NEMA G11","Excellent chemical resistance & radiation resistance - industrial composite",0
"RoHS, Reach certified products","NEMA G11","RoHS, Reach certified products - industrial composite",0
"GPO3","NEMA G11","GPO3 - industrial composite",0
"Products","NEMA G7","Products - industrial composite",0
"Glass Fabric Laminates","NEMA G7","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA G7","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA G7","Speciality Laminates - industrial composite",0
"MICA","NEMA G7","MICA - industrial composite",0
"Tubes And Cylinders","NEMA G7","Tubes And Cylinders - industrial composite",0
